2026-06-23 09:09:59:959 [HTTP]: GET /api/user/notifications | Status: 304 | Size: - B | Time: 502.638 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:09:59:959 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 743.534 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:10:00:100 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 502.026 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:10:00:100 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1770.695 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:10:01:101 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1017.657 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:10:08:108 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1022.084 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:10:10:1010 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1014.213 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:14:12:1412 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 3058.795 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:14:13:1413 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1002.895 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:15:09:159 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 3364.532 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:15:10:1510 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1031.273 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:17:53:1753 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 3588.174 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:17:53:1753 [HTTP]: GET /api/user/notifications | Status: 304 | Size: - B | Time: 3834.699 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:17:53:1753 [HTTP]: GET /api/user/me | Status: 304 | Size: - B | Time: 4118.787 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:17:53:1753 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 762.090 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:17:54:1754 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 258.133 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:17:54:1754 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 258.379 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:18:49:1849 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 3376.299 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:18:50:1850 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1035.036 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:18:51:1851 [HTTP]: GET /api/chat/messages/7b600a4b-5a06-49d1-b2a2-c8749c9f5313 | Status: 304 | Size: - B | Time: 522.939 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:18:52:1852 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1032.441 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:18:55:1855 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 365.241 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:18:55:1855 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 288.468 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:18:58:1858 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1132.777 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:18:59:1859 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 392.967 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:18:59:1859 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1289.178 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:19:00:190 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 508.472 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:46:12:4612 [HTTP]: GET /api/admin/tasks | Status: 304 | Size: - B | Time: 1630.521 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:46:13:4613 [HTTP]: GET /api/admin/tasks/all | Status: 304 | Size: - B | Time: 1877.496 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:46:13:4613 [HTTP]: GET /api/admin/users | Status: 200 | Size: 2834 B | Time: 2467.922 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:46:13:4613 [HTTP]: GET /api/admin/tasks | Status: 304 | Size: - B | Time: 899.296 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:46:14:4614 [HTTP]: GET /api/admin/tasks/all | Status: 304 | Size: - B | Time: 774.948 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:46:14:4614 [HTTP]: GET /api/admin/designations/permissions | Status: 304 | Size: - B | Time: 521.099 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:46:14:4614 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 6300.761 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:46:14:4614 [HTTP]: GET /api/admin/users | Status: 304 | Size: - B | Time: 681.187 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:46:14:4614 [HTTP]: GET /api/admin/designations/permissions | Status: 304 | Size: - B | Time: 327.079 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:46:15:4615 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1281.505 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:46:26:4626 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 307.553 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:46:27:4627 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 316.898 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:46:30:4630 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1107.582 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:46:31:4631 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1165.993 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:46:36:4636 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 265.006 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:46:36:4636 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 262.944 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:54:37:5437 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 3459.479 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:54:37:5437 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 927.022 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:54:47:5447 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 258.570 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:54:48:5448 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 727.499 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:58:49:5849 [HTTP]: GET /api/chat/contacts | Status: 200 | Size: 712 B | Time: 3809.015 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:58:50:5850 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1349.656 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:58:53:5853 [HTTP]: GET /api/chat/messages/3a81e4ea-21f0-4b8f-b6bd-b1f54a190dba | Status: 200 | Size: 2 B | Time: 553.468 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:58:54:5854 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1346.299 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:58:55:5855 [HTTP]: GET /api/chat/messages/3eb6f13e-88c6-4c1b-b86e-214c3a756fba | Status: 304 | Size: - B | Time: 638.694 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:58:56:5856 [HTTP]: GET /api/chat/messages/3a81e4ea-21f0-4b8f-b6bd-b1f54a190dba | Status: 304 | Size: - B | Time: 904.553 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:58:57:5857 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 2039.156 ms | User: Admin User (admin@gmail.com)
2026-06-23 09:58:58:5858 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1385.223 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:21:021 [HTTP]: POST /api/chat/messages | Status: 403 | Size: 64 B | Time: 2510.814 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:27:027 [HTTP]: GET /api/chat/messages/7b600a4b-5a06-49d1-b2a2-c8749c9f5313 | Status: 304 | Size: - B | Time: 496.173 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:29:029 [HTTP]: GET /api/chat/messages/3a81e4ea-21f0-4b8f-b6bd-b1f54a190dba | Status: 304 | Size: - B | Time: 757.240 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:29:029 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1707.515 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:30:030 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1240.353 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:30:030 [HTTP]: GET /api/chat/messages/7b600a4b-5a06-49d1-b2a2-c8749c9f5313 | Status: 304 | Size: - B | Time: 521.873 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:32:032 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1296.785 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:35:035 [HTTP]: POST /api/chat/messages | Status: 403 | Size: 64 B | Time: 524.057 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:40:040 [HTTP]: GET /api/user/notifications | Status: 304 | Size: - B | Time: 260.796 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:40:040 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 240.049 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:40:040 [HTTP]: GET /api/user/me | Status: 200 | Size: 375 B | Time: 511.589 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:40:040 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 243.189 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:41:041 [HTTP]: GET /api/user/me | Status: 304 | Size: - B | Time: 516.593 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:41:041 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1271.432 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:42:042 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1274.418 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:44:044 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1302.687 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:45:045 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1267.637 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:46:046 [HTTP]: GET /api/chat/messages/7b600a4b-5a06-49d1-b2a2-c8749c9f5313 | Status: 304 | Size: - B | Time: 515.699 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:46:046 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1291.199 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:48:048 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1268.851 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:00:50:050 [HTTP]: POST /api/chat/messages | Status: 403 | Size: 64 B | Time: 515.540 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:03:43:343 [HTTP]: PUT /api/chat/messages/7b600a4b-5a06-49d1-b2a2-c8749c9f5313/read | Status: 200 | Size: 37 B | Time: 263.031 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:03:45:345 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1276.494 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:03:55:355 [HTTP]: POST /api/chat/messages | Status: 201 | Size: 256 B | Time: 759.319 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:04:20:420 [HTTP]: POST /api/chat/messages | Status: 201 | Size: 256 B | Time: 721.563 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:55:53:5553 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 3204.226 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:55:53:5553 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 264.511 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:30:5630 [HTTP]: GET /api/admin/tasks | Status: 304 | Size: - B | Time: 2123.892 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:30:5630 [HTTP]: GET /api/admin/tasks/all | Status: 304 | Size: - B | Time: 2178.502 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:30:5630 [HTTP]: GET /api/admin/users | Status: 200 | Size: 2808 B | Time: 2252.070 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:30:5630 [HTTP]: GET /api/admin/tasks | Status: 304 | Size: - B | Time: 258.947 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:31:5631 [HTTP]: GET /api/admin/tasks/all | Status: 304 | Size: - B | Time: 238.306 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:31:5631 [HTTP]: GET /api/admin/designations/permissions | Status: 304 | Size: - B | Time: 390.892 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:31:5631 [HTTP]: GET /api/admin/users | Status: 304 | Size: - B | Time: 474.123 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:31:5631 [HTTP]: GET /api/admin/designations/permissions | Status: 304 | Size: - B | Time: 237.124 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:32:5632 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1326.620 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:33:5633 [HTTP]: GET /api/admin/tasks | Status: 304 | Size: - B | Time: 237.230 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:33:5633 [HTTP]: GET /api/admin/tasks/all | Status: 304 | Size: - B | Time: 237.998 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:33:5633 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 1290.939 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:34:5634 [HTTP]: GET /api/admin/users | Status: 304 | Size: - B | Time: 487.117 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:34:5634 [HTTP]: GET /api/admin/tasks | Status: 304 | Size: - B | Time: 244.941 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:34:5634 [HTTP]: GET /api/admin/tasks/all | Status: 304 | Size: - B | Time: 244.720 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:34:5634 [HTTP]: GET /api/admin/designations/permissions | Status: 304 | Size: - B | Time: 237.199 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:34:5634 [HTTP]: GET /api/admin/users | Status: 304 | Size: - B | Time: 473.324 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:34:5634 [HTTP]: GET /api/admin/designations/permissions | Status: 304 | Size: - B | Time: 239.078 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:58:5658 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 2838.457 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:56:58:5658 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 255.367 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:57:43:5743 [HTTP]: GET /api/admin/tasks | Status: 304 | Size: - B | Time: 2163.350 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:57:43:5743 [HTTP]: GET /api/admin/tasks/all | Status: 304 | Size: - B | Time: 2311.104 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:57:43:5743 [HTTP]: GET /api/admin/users | Status: 304 | Size: - B | Time: 2402.608 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:57:43:5743 [HTTP]: GET /api/admin/tasks | Status: 304 | Size: - B | Time: 403.018 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:57:43:5743 [HTTP]: GET /api/admin/tasks/all | Status: 304 | Size: - B | Time: 256.310 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:57:43:5743 [HTTP]: GET /api/admin/designations/permissions | Status: 304 | Size: - B | Time: 418.947 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:57:43:5743 [HTTP]: GET /api/admin/users | Status: 304 | Size: - B | Time: 471.620 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:57:44:5744 [HTTP]: GET /api/admin/designations/permissions | Status: 304 | Size: - B | Time: 238.477 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:58:05:585 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 1938.911 ms | User: Admin User (admin@gmail.com)
2026-06-23 10:58:05:585 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 237.400 ms | User: Admin User (admin@gmail.com)
