2026-06-22 10:30:14:3014 [HTTP]: POST /api/login | Status: 400 | Size: 39 B | Time: 367.546 ms | User: anonymous (anonymous)
2026-06-22 10:30:17:3017 [HTTP]: GET /api/designations | Status: 200 | Size: 2 B | Time: 8.891 ms | User: anonymous (anonymous)
2026-06-22 10:30:17:3017 [HTTP]: GET /api/designations | Status: 304 | Size: - B | Time: 2.249 ms | User: anonymous (anonymous)
2026-06-22 10:30:49:3049 [HTTP]: POST /api/register | Status: 201 | Size: 89 B | Time: 192.831 ms | User: anonymous (anonymous)
2026-06-22 10:31:02:312 [HTTP]: POST /api/login | Status: 200 | Size: 132 B | Time: 3887.139 ms | User: anonymous (anonymous)
2026-06-22 10:31:36:3136 [HTTP]: POST /api/verify-otp | Status: 200 | Size: 1091 B | Time: 72.031 ms | User: anonymous (anonymous)
2026-06-22 10:31:55:3155 [HTTP]: GET /api/uploads/profilePicture-1782104515392-179802896.png | Status: 200 | Size: 2341606 B | Time: 5.594 ms | User: anonymous (anonymous)
2026-06-22 11:28:44:2844 [HTTP]: GET /api/uploads/profilePicture-1782104515392-179802896.png | Status: 304 | Size: - B | Time: 4.815 ms | User: anonymous (anonymous)
2026-06-22 11:28:57:2857 [HTTP]: GET /api/designations | Status: 304 | Size: - B | Time: 10.104 ms | User: anonymous (anonymous)
2026-06-22 11:28:57:2857 [HTTP]: GET /api/designations | Status: 304 | Size: - B | Time: 1.666 ms | User: anonymous (anonymous)
2026-06-22 11:29:32:2932 [HTTP]: POST /api/register | Status: 201 | Size: 89 B | Time: 216.704 ms | User: anonymous (anonymous)
2026-06-22 11:29:50:2950 [HTTP]: POST /api/login | Status: 200 | Size: 123 B | Time: 3458.280 ms | User: anonymous (anonymous)
2026-06-22 11:32:32:3232 [HTTP]: POST /api/verify-otp | Status: 200 | Size: 1065 B | Time: 80.157 ms | User: anonymous (anonymous)
