2026-06-23 09:08:45:845 [HTTP]: GET /api/user/me | Status: 401 | Size: 32 B | Time: 8.753 ms | User: anonymous (anonymous)
2026-06-23 09:08:45:845 [HTTP]: GET /api/user/me | Status: 401 | Size: 32 B | Time: 3.921 ms | User: anonymous (anonymous)
2026-06-23 09:08:45:845 [HTTP]: GET /api/chat/contacts | Status: 401 | Size: 32 B | Time: 3.573 ms | User: anonymous (anonymous)
2026-06-23 09:08:45:845 [HTTP]: GET /api/user/notifications | Status: 401 | Size: 32 B | Time: 2.072 ms | User: anonymous (anonymous)
2026-06-23 09:08:45:845 [HTTP]: GET /api/chat/contacts | Status: 401 | Size: 32 B | Time: 2.441 ms | User: anonymous (anonymous)
2026-06-23 09:09:17:917 [HTTP]: POST /api/login | Status: 200 | Size: 124 B | Time: 6237.802 ms | User: anonymous (anonymous)
2026-06-23 09:09:59:959 [HTTP]: POST /api/verify-otp | Status: 200 | Size: 1063 B | Time: 2814.126 ms | User: anonymous (anonymous)
2026-06-23 10:01:04:14 [HTTP]: GET /api/user/me | Status: 401 | Size: 32 B | Time: 3.017 ms | User: anonymous (anonymous)
2026-06-23 10:01:04:14 [HTTP]: GET /api/user/me | Status: 401 | Size: 32 B | Time: 2.391 ms | User: anonymous (anonymous)
2026-06-23 10:01:04:14 [HTTP]: GET /api/tasks | Status: 401 | Size: 32 B | Time: 1.858 ms | User: anonymous (anonymous)
2026-06-23 10:01:04:14 [HTTP]: GET /api/chat/contacts | Status: 401 | Size: 32 B | Time: 2.556 ms | User: anonymous (anonymous)
2026-06-23 10:01:04:14 [HTTP]: GET /api/user/notifications | Status: 401 | Size: 32 B | Time: 3.195 ms | User: anonymous (anonymous)
2026-06-23 10:01:04:14 [HTTP]: GET /api/tasks | Status: 401 | Size: 32 B | Time: 2.160 ms | User: anonymous (anonymous)
2026-06-23 10:01:11:111 [HTTP]: POST /api/login | Status: 200 | Size: 124 B | Time: 6351.769 ms | User: anonymous (anonymous)
2026-06-23 10:01:30:130 [HTTP]: POST /api/verify-otp | Status: 200 | Size: 1077 B | Time: 3135.707 ms | User: anonymous (anonymous)
